BeeVA,BeePDI,BeeAbundance,BeeRichness,BeeDiversity,FloralPDI,FloralVA,FloralAbundance,FloralRichness,FloralDiversity
1.532853914,0.54526426,211,13,1.428429154,0.625,0.128336074,136,5,1.080573848
2.647720023,0.772025884,217,14,1.842770095,1,0.157585245,588,24,3.062825325
0.636223055,1,209,10,1.379836655,0.992,0.216745748,283,20,2.882937427
1.00393528,0.890160942,143,12,1.893096474,1,1.023907758,189,22,2.986795475
2.201398157,0.930645429,63,9,1.973039881,1,0.255066156,257,16,2.599624037
3.078963918,0.752970607,142,10,1.231562312,1,0.143784269,266,6,1.605207107
2.51629956,0.828936453,110,18,2.376932801,1,0.222983244,302,16,2.599006814
1.732050808,1,36,9,1.615358369,1,0.12191071,798,14,2.5393674
1.024826929,0.902439024,127,11,1.930578655,1,0.19781579,262,15,2.497346964
1.123288468,0.974358974,46,6,1.345689798,1,0.1417567,265,11,2.282374376
