site,longitude,latitude,total_area2000m,Canola_area2000m,total_area1000m,Canola_area1000m,total_area500m,Canola_area500m
Aso_c,-117.26272,46.25037,13905.28613,999,3476.321533,854.9064941,869.0803833,277.9412231
Hutch_c,-117.87861,46.38152,13905.28613,759.930481,3476.321533,264.7024841,869.0803833,156.5857086
OD_c,-117.04099,46.76809,13905.28613,1551.895508,3476.321533,402.8960571,869.0803833,110.1971283
Clark1_c,-117.14836,46.82887,13905.28613,4294.73877,3476.321533,1593.682739,869.0803833,519.6647339
Chip2_c,-117.070387,46.736343,13905.28613,5315.3125,3476.321533,2059.868164,869.0803833,512.5435791
Chip1_c,-117.13018,46.71893,13905.28613,2318.681152,3476.321533,1118.984375,869.0803833,534.2424927
Air_c,-117.10829,46.74647,13905.28613,2282.573486,3476.321533,1213.026733,869.0803833,452.2155151
Smoot_c,-117.23034,46.83136,13905.28613,3018.647461,3476.321533,1089.5354,869.0803833,314.5381165
Clark2_c,-117.22016,46.84351,13905.28613,3208.842773,3476.321533,764.9259033,869.0803833,321.3217468
