Name,area,buffer2km
Chipman1,13905.28613,451.4007874
Chipman2,13905.28613,5823.397949
Asotin,13905.28613,61.26966095
Hutchins,13905.28613,884.9874878
Smoot Hill,13905.28613,1613.633301
Clark1,13905.28613,3543.599609
Clark2,13905.28613,2612.64502
Kamiak,13905.28613,543.2814331
Plaza,13905.28613,0
Spangle,13905.28613,70.56599426
Chipman1 canola,13905.28613,451.4007874
Chipman2 canola,13905.28613,5315.30127
Asotin canola,13905.28613,999
Hutchins canola,13905.28613,789.8770752
Smoot Hill canola,13905.28613,3034.29126
Clark 1 canola,13905.28613,4294.763672
Clark2 canola,13905.28613,3546.04541
ODonnell canola,13905.28613,1551.898804
Airport canola,13905.28613,2282.564209
