SiteSeason,Site,Season,Abundance,Richness,Shannon_Diversity
Asotin_DeclineBloom,Asotin,DeclineBloom,8,2,0.562335145
Asotin_PeakBloom,Asotin,PeakBloom,72,1,0
Asotin_PreBloom,Asotin,PreBloom,56,4,1.277034259
Chipman1_DeclineBloom,Chipman1,DeclineBloom,27,6,1.747868097
Chipman1_PeakBloom,Chipman1,PeakBloom,231,8,2.022808529
Chipman1_PreBloom,Chipman1,PreBloom,330,15,2.625048159
Chipman2_DeclineBloom,Chipman2,DeclineBloom,65,7,1.906154747
Chipman2_PeakBloom,Chipman2,PeakBloom,93,6,1.747868097
Chipman2_PreBloom,Chipman2,PreBloom,125,12,2.441015278
Clark1_DeclineBloom,Clark1,DeclineBloom,10,3,1.039720771
Clark1_PeakBloom,Clark1,PeakBloom,86,11,2.338371705
Clark1_PreBloom,Clark1,PreBloom,93,9,2.13833306
Clark2_DeclineBloom,Clark2,DeclineBloom,13,2,0.693147181
Clark2_PeakBloom,Clark2,PeakBloom,71,7,1.906154747
Clark2_PreBloom,Clark2,PreBloom,173,9,2.119280922
Hutchins_DeclineBloom,Hutchins,DeclineBloom,47,3,1.098612289
Hutchins_PeakBloom,Hutchins,PeakBloom,37,3,1.039720771
Hutchins_PreBloom,Hutchins,PreBloom,182,3,1.098612289
Kamiak_DeclineBloom,Kamiak,DeclineBloom,144,6,1.671595278
Kamiak_PeakBloom,Kamiak,PeakBloom,116,11,2.338371705
Kamiak_PreBloom,Kamiak,PreBloom,42,4,1.33217904
Plaza_DeclineBloom,Plaza,DeclineBloom,4,2,0.693147181
Plaza_PeakBloom,Plaza,PeakBloom,67,3,1.098612289
Plaza_PreBloom,Plaza,PreBloom,727,10,2.205598359
Smoot_DeclineBloom,Smoot,DeclineBloom,47,6,1.732867951
Smoot_PeakBloom,Smoot,PeakBloom,141,6,1.704551445
Smoot_PreBloom,Smoot,PreBloom,74,8,1.973001406
Spangle_DeclineBloom,Spangle,DeclineBloom,9,2,0.636514168
Spangle_PeakBloom,Spangle,PeakBloom,31,5,1.549826046
Spangle_PreBloom,Spangle,PreBloom,225,6,1.747868097
