Site,Abundance,Abundance_mean,Abundance_SD,Abundance_n,Richness,Richness_mean,Richness_SD,Richness_n,Shannon_Diversity,Shannon_Diversity_mean,Shannon_Diversity_SD,Shannon_Diversity_n,Abundance_Tukey,Richness_Tukey,Diversity_Tukey,Type
Asotin,8,45.33333333,33.30665599,3,2,2.333333333,1.527525232,3,0.562335145,0.613123135,0.640030226,3,a,a,a,Floral
Chipman1,27,196,154.5024272,3,6,9.666666667,4.725815626,3,1.747868097,2.131908262,0.448651623,3,a,a,a,Floral
Chipman2,65,94.33333333,30.022214,3,7,8.333333333,3.214550254,3,1.906154747,2.031679374,0.363222491,3,a,a,a,Floral
Clark1,10,63,46.03259715,3,3,7.666666667,4.163331999,3,1.039720771,1.838808512,0.699220837,3,a,a,a,Floral
Clark2,13,85.66666667,81.00205759,3,2,6,3.605551275,3,0.693147181,1.57286095,0.769271037,3,a,a,a,Floral
Hutchins,47,88.66666667,80.98353742,3,3,3,0,3,1.098612289,1.078981783,0.034001034,3,a,a,a,Floral
Kamiak,144,100.6666667,52.70041113,3,6,7,3.605551275,3,1.671595278,1.780715341,0.511894824,3,a,a,a,Floral
Smoot,47,87.33333333,48.39765835,3,6,6.666666667,1.154700538,3,1.732867951,1.803473601,0.147496487,3,a,a,a,Floral
Plaza,4,266,400.4784638,3,2,5,4.358898944,3,0.693147181,1.33245261,0.782871709,3,a,a,a,Floral
Spangle,9,88.33333333,118.8668723,3,2,4.333333333,2.081665999,3,0.636514168,1.31140277,0.592799403,3,a,a,a,Floral
Asotin,49,70.33333333,45.88391149,3,5,7.333333333,2.081665999,3,1.203553637,1.317451595,0.308310484,3,a,a,a,Bee
Chipman1,95,72.33333333,27.31910199,3,10,7,3,3,1.412593555,1.185955297,0.470726203,3,b,bc,bc,Bee
Chipman2,2,69.66666667,109.5003805,3,2,4.666666667,3.785938897,3,0.693147181,0.86978945,0.38926359,3,b,bc,bc,Bee
Clark1,10,47.66666667,47.47982027,3,4,6.666666667,2.309401077,3,1.088899975,1.482602605,0.354842321,3,b,bc,bc,Bee
Clark2,11,21,9.539392014,3,7,6.666666667,0.577350269,3,1.846220219,1.714915905,0.167112489,3,b,bc,bc,Bee
Hutchins,40,47.33333333,15.37313674,3,7,6,1,3,1.218356908,1.048784264,0.412591355,3,b,bc,bc,Bee
Kamiak,20,36.66666667,14.571662,3,11,10.66666667,0.577350269,3,2.154783153,2.053073889,0.125173694,3,b,bc,bc,Bee
Smoot,20,12,6.92820323,3,3,3.666666667,1.154700538,3,0.518186213,1.053320966,0.521297575,3,b,c,bc,Bee
Plaza,17,42.33333333,41.3077878,3,6,7.333333333,1.154700538,3,1.599221257,1.737239362,0.125480374,3,b,c,c,Bee
Spangle,31,15.33333333,13.65039682,3,4,3.333333333,1.154700538,3,0.984704327,0.902764624,0.417311191,3,b,c,c,Bee
